Topic_Code,Sub_Topic_Code,Question
AASKK01,Python Introduction,I want to know about Python
AASKK01,Python Introduction,What is Python
AASKK01,Python Introduction,I Want to understand Python
AASKK01,Python Introduction,what is python ecosystem
AASKK01,Python Introduction,whether python ecosystem is well supported
AASKK01,Python Introduction,Is python general purpose
AASKK01,Python Introduction,Is python accessible
AASKK01,Python Introduction,What is jupyter notebook
AASKK01,Python Introduction,How python code is different from notebook
AASKK01,Lists,what is list
AASKK01,Dictionary,what is dictionary
AASKK01,Python Introduction,Which field python is extensively used
AASKK01,Python Introduction,"what is AI, Machine Learning, Big Data computing and big data?"
AASKK01,Python Introduction,Does python has features of data analytics
AASKK01,Python Introduction,what are all python libraries 
AASKK01,Python Introduction,"tensorflow, opencv and pandas are part of python?"
AASKK01,Python Introduction,Is python a high level language?
AASKK01,Lists,what is an index in a list?
AASKK01,Lists,what is a reverse list?
AASKK01,Lists,whether list is mutable?
AASKK01,Lists,can we concatenate two lists?
AASKK01,Dictionary,what is key value pair in a dictionary?
AASKK01,Dictionary,whether keys are always unique in a dictionary?
AASKK01,File,how to open a file in python. 
AASKK01,File,what are all different modes available in python
AASKK01,File,what is file read operation?
AASKK01,File,what is file write operation?
AASKK01,File,what is file close operation?
AASKK01,File,how to close a file automatically when you use file read?
AASKK01,File,what are all different file types we can read in python
AASKK01,Dictionary,how to merge two python dictionaries in a single expression?
AASKK01,Numpy,what is numpy and  pandas?
AASKK01,Ploting,what  is seaborn?
AASKK01,Pandas,Can excel be read in python?
AASKK01,Pandas,can csv file be read in python?
AASKK01,Dictionary,how to sort objects in a dictionary?
AASKK01,Lists,pattern matching in lists?
AASKK01,Lists,map two lists into single list?
AASKK01,Lists,merging/adding lists in python?
AASKK01,Dictionary,comparing massive lists of dictionaries from python
AASKK01,Lists,sorting and grouping nested lists in python
AASKK01,Lists,ordered lists in python
AASKK01,Dictionary,how to merge two python dictionaries in a single expression?
AASKK01,Ploting,how to plot matlab functions in python?
AASKK01,Pandas,what is pandas?
AASKK01,PivotTable,what is pandas pivot table?
AASKK01,PivotTable,what is pandas qcut method?
AASKK01,PivotTable,what is pandas cut method?
AASKK01,PivotTable,how to sort pandas pivot table?
AASKK01,GroupBy,What is Pandas Groupby Object
AASKK01,GroupBy,what is aggregation in pandas groupby ?
AASKK01,Missing,what are missing values in pandas?
AASKK01,Numpy,"how to create 3 dimensions matrix in numpy , like matlab a(:,:,:)"
AASKK01,Missing,How to fill in misssing value in datatime format in pandas?
AASKK01,Ploting,How to plot boxplot in pandas?
AASKK01,Ploting,How to understand boxplot outliers?
